epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,155.806,0.79875,0.9185,1,0.25621,0.000301659,0.000301659,0.000301659
2,244.797,0.15238,0.93661,1,0.24934,0.000598673,0.000598673,0.000598673
3,333.752,0.11887,0.93532,1,0.35257,0.000889688,0.000889688,0.000889688
4,426.672,0.09907,0.93661,1,0.25173,0.000882003,0.000882003,0.000882003
5,514.408,0.07602,0.93273,1,0.21898,0.000873004,0.000873004,0.000873004
6,604.285,0.06168,0.90944,1,0.26781,0.000864004,0.000864004,0.000864004
7,688.197,0.06082,0.95084,0.99612,0.25704,0.000855005,0.000855005,0.000855005
8,772.815,0.05093,0.93144,1,0.24589,0.000846006,0.000846006,0.000846006
9,860.849,0.0423,0.95602,0.99353,0.22525,0.000837007,0.000837007,0.000837007
10,947.019,0.03502,0.92626,1,0.25838,0.000828008,0.000828008,0.000828008
11,1029.46,0.02766,0.89521,1,0.35904,0.000819009,0.000819009,0.000819009
12,1110.97,0.04074,0.91203,0.99741,0.27282,0.00081001,0.00081001,0.00081001
13,1194.68,0.01947,0.94955,1,0.16109,0.000801011,0.000801011,0.000801011
14,1277.48,0.02149,0.93661,1,0.19086,0.000792012,0.000792012,0.000792012
15,1360.52,0.04428,0.92755,1,0.21771,0.000783013,0.000783013,0.000783013
16,1443.24,0.02422,0.91203,0.97283,0.43356,0.000774013,0.000774013,0.000774013
17,1525.6,0.03688,0.92109,0.99353,0.28359,0.000765014,0.000765014,0.000765014
18,1609.73,0.02724,0.90686,1,0.41987,0.000756015,0.000756015,0.000756015
19,1692.54,0.01614,0.90944,1,0.33469,0.000747016,0.000747016,0.000747016
20,1775.09,0.0218,0.93661,1,0.18952,0.000738017,0.000738017,0.000738017
21,1857.73,0.02066,0.90168,1,0.29383,0.000729018,0.000729018,0.000729018
22,1940.19,0.01902,0.90944,1,0.35488,0.000720019,0.000720019,0.000720019
23,2022.95,0.01905,0.90556,0.99612,0.34455,0.00071102,0.00071102,0.00071102
24,2108.51,0.01918,0.9185,1,0.26128,0.000702021,0.000702021,0.000702021
25,2193.01,0.02407,0.88228,1,0.45976,0.000693022,0.000693022,0.000693022
26,2275.69,0.01564,0.93014,1,0.25127,0.000684022,0.000684022,0.000684022
27,2357.83,0.02352,0.97154,1,0.14651,0.000675023,0.000675023,0.000675023
28,2441.51,0.01958,0.94825,1,0.20647,0.000666024,0.000666024,0.000666024
29,2525.87,0.01047,0.94179,1,0.22352,0.000657025,0.000657025,0.000657025
30,2610.91,0.0066,0.9185,1,0.26715,0.000648026,0.000648026,0.000648026
31,2695.1,0.01496,0.89651,0.99871,0.41295,0.000639027,0.000639027,0.000639027
32,2778.32,0.01033,0.89521,0.99871,0.47765,0.000630028,0.000630028,0.000630028
33,2861.5,0.00885,0.93273,1,0.24651,0.000621029,0.000621029,0.000621029
34,2945.06,0.01194,0.90944,1,0.24089,0.00061203,0.00061203,0.00061203
35,3029.26,0.00922,0.91203,1,0.32647,0.000603031,0.000603031,0.000603031
36,3113.06,0.00982,0.89521,0.99871,0.37252,0.000594031,0.000594031,0.000594031
37,3197.37,0.01083,0.90944,0.99741,0.35657,0.000585032,0.000585032,0.000585032
38,3281.15,0.00594,0.91591,1,0.36121,0.000576033,0.000576033,0.000576033
39,3364.33,0.00766,0.91591,1,0.3141,0.000567034,0.000567034,0.000567034
40,3448.86,0.0112,0.91203,1,0.29941,0.000558035,0.000558035,0.000558035
41,3532.04,0.01841,0.89909,0.99612,0.4691,0.000549036,0.000549036,0.000549036
42,3617.14,0.01786,0.90427,0.99741,0.35456,0.000540037,0.000540037,0.000540037
43,3700.89,0.0122,0.91332,0.99871,0.33297,0.000531038,0.000531038,0.000531038
44,3784.59,0.00612,0.92497,1,0.26199,0.000522039,0.000522039,0.000522039
