epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.7411,0.48485,0.96481,1,0.09819,0.000473319,0.000473319,0.000473319
2,94.5774,0.1831,0.98704,1,0.05256,0.00094025,0.00094025,0.00094025
3,141.622,0.16706,0.93519,1,0.15762,0.00139775,0.00139775,0.00139775
4,188.478,0.19332,0.96296,1,0.09998,0.00138656,0.00138656,0.00138656
5,237.237,0.16703,0.95926,1,0.08483,0.00137241,0.00137241,0.00137241
6,283.715,0.15463,0.98333,1,0.05521,0.00135826,0.00135826,0.00135826
7,330.397,0.11772,0.97407,1,0.05386,0.00134412,0.00134412,0.00134412
8,377.656,0.12365,0.98333,1,0.03563,0.00132997,0.00132997,0.00132997
9,424.404,0.11074,0.97963,1,0.05045,0.00131582,0.00131582,0.00131582
10,471.615,0.09826,0.97593,1,0.05609,0.00130168,0.00130168,0.00130168
11,518.671,0.1099,0.97593,1,0.04915,0.00128753,0.00128753,0.00128753
12,566.928,0.10811,0.98333,1,0.04222,0.00127338,0.00127338,0.00127338
13,614.38,0.09655,0.98148,1,0.04977,0.00125923,0.00125923,0.00125923
14,661.039,0.07124,0.99259,1,0.02657,0.00124509,0.00124509,0.00124509
15,709.842,0.06558,0.98148,1,0.039,0.00123094,0.00123094,0.00123094
16,759.73,0.08188,0.97963,1,0.06346,0.00121679,0.00121679,0.00121679
17,808.709,0.06819,0.98889,1,0.02125,0.00120265,0.00120265,0.00120265
18,855.564,0.06486,0.98704,1,0.04005,0.0011885,0.0011885,0.0011885
19,904.266,0.07349,0.98333,1,0.04544,0.00117435,0.00117435,0.00117435
20,953.679,0.05206,0.99074,1,0.02331,0.00116021,0.00116021,0.00116021
21,1002.21,0.04696,0.97778,1,0.06559,0.00114606,0.00114606,0.00114606
22,1051.29,0.07202,0.97963,1,0.04494,0.00113191,0.00113191,0.00113191
23,1101.94,0.07391,0.98148,1,0.04227,0.00111776,0.00111776,0.00111776
24,1151.59,0.05586,0.98704,1,0.02971,0.00110362,0.00110362,0.00110362
25,1200.55,0.05595,0.97963,1,0.0593,0.00108947,0.00108947,0.00108947
26,1248.58,0.05066,0.98704,1,0.03644,0.00107532,0.00107532,0.00107532
27,1296.01,0.05847,0.97778,1,0.11124,0.00106118,0.00106118,0.00106118
28,1342.72,0.0509,0.98333,1,0.04704,0.00104703,0.00104703,0.00104703
29,1390.21,0.05293,0.98519,1,0.04049,0.00103288,0.00103288,0.00103288
30,1438.9,0.0472,0.98333,1,0.03145,0.00101873,0.00101873,0.00101873
31,1487.55,0.04577,0.98333,1,0.06009,0.00100459,0.00100459,0.00100459
32,1536.47,0.05362,0.98519,1,0.04357,0.00099044,0.00099044,0.00099044
33,1583.83,0.0442,0.98889,1,0.04141,0.000976293,0.000976293,0.000976293
34,1632.69,0.04306,0.98519,1,0.04556,0.000962146,0.000962146,0.000962146
35,1681.06,0.03601,0.99074,1,0.02339,0.000947999,0.000947999,0.000947999
36,1729.47,0.03246,0.98148,1,0.05716,0.000933851,0.000933851,0.000933851
37,1776.44,0.03513,0.98519,1,0.04797,0.000919704,0.000919704,0.000919704
38,1822.99,0.0483,0.98519,1,0.04808,0.000905557,0.000905557,0.000905557
39,1871.26,0.02618,0.99074,1,0.01655,0.00089141,0.00089141,0.00089141
40,1920.14,0.04433,0.98889,1,0.03932,0.000877263,0.000877263,0.000877263
41,1969.58,0.05288,0.98889,1,0.04566,0.000863116,0.000863116,0.000863116
42,2016.59,0.03556,0.99259,1,0.02402,0.000848969,0.000848969,0.000848969
43,2065.11,0.02441,0.98519,1,0.04725,0.000834822,0.000834822,0.000834822
44,2112.72,0.02818,0.98148,1,0.05453,0.000820675,0.000820675,0.000820675
45,2160.13,0.02969,0.98889,1,0.05421,0.000806528,0.000806528,0.000806528
46,2208.07,0.04139,0.99074,1,0.0373,0.00079238,0.00079238,0.00079238
47,2254.45,0.03714,0.98704,1,0.03359,0.000778233,0.000778233,0.000778233
48,2302.55,0.02842,0.98519,1,0.0509,0.000764086,0.000764086,0.000764086
49,2349.27,0.02374,0.99074,1,0.02408,0.000749939,0.000749939,0.000749939
50,2395.16,0.02775,0.99259,1,0.01736,0.000735792,0.000735792,0.000735792
