epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.4946,0.40418,0.98681,1,0.04713,0.000328431,0.000328431,0.0674853
2,87.0479,0.18741,0.98681,1,0.05116,0.000655213,0.000655213,0.0344787
3,130.025,0.14909,0.92876,1,0.18138,0.000975395,0.000975395,0.00146559
4,172.015,0.137,0.98153,1,0.05207,0.0009703,0.0009703,0.0009703
5,214.284,0.15868,0.98945,1,0.03379,0.0009604,0.0009604,0.0009604
6,256.473,0.14827,0.98153,1,0.05082,0.0009505,0.0009505,0.0009505
7,299.091,0.10083,0.98417,1,0.04697,0.0009406,0.0009406,0.0009406
8,341.943,0.07903,0.99208,1,0.02303,0.0009307,0.0009307,0.0009307
9,385.206,0.07965,0.97361,1,0.08351,0.0009208,0.0009208,0.0009208
10,435.876,0.09876,0.97889,1,0.06929,0.0009109,0.0009109,0.0009109
11,485.143,0.12316,0.97361,1,0.09928,0.000901,0.000901,0.000901
12,529.619,0.11202,0.98945,1,0.04185,0.0008911,0.0008911,0.0008911
13,572.891,0.07624,0.97889,1,0.09641,0.0008812,0.0008812,0.0008812
14,621.178,0.09854,0.98681,1,0.03617,0.0008713,0.0008713,0.0008713
15,664.462,0.07503,0.97889,1,0.05575,0.0008614,0.0008614,0.0008614
16,707.599,0.06608,0.98945,1,0.03845,0.0008515,0.0008515,0.0008515
17,751.608,0.05768,0.97889,1,0.08421,0.0008416,0.0008416,0.0008416
18,796.675,0.05911,0.98417,1,0.07156,0.0008317,0.0008317,0.0008317
19,840.952,0.06477,0.99208,1,0.0253,0.0008218,0.0008218,0.0008218
20,885.929,0.07215,0.98417,1,0.0468,0.0008119,0.0008119,0.0008119
21,930.507,0.05989,0.98153,1,0.04743,0.000802,0.000802,0.000802
22,974.186,0.04981,0.99472,1,0.02622,0.0007921,0.0007921,0.0007921
23,1017.48,0.05287,0.98153,1,0.05557,0.0007822,0.0007822,0.0007822
24,1071.59,0.05646,0.99472,1,0.01177,0.0007723,0.0007723,0.0007723
25,1116.19,0.05811,0.98945,1,0.03394,0.0007624,0.0007624,0.0007624
26,1161.13,0.05347,0.97361,1,0.13698,0.0007525,0.0007525,0.0007525
27,1205.65,0.05429,0.98417,1,0.05308,0.0007426,0.0007426,0.0007426
28,1250.43,0.06809,0.98153,1,0.07048,0.0007327,0.0007327,0.0007327
29,1294.8,0.0803,0.99208,1,0.01279,0.0007228,0.0007228,0.0007228
30,1341.34,0.05273,0.98153,1,0.08643,0.0007129,0.0007129,0.0007129
31,1387.21,0.03742,0.98681,1,0.05171,0.000703,0.000703,0.000703
32,1430.81,0.04181,0.9657,1,0.18305,0.0006931,0.0006931,0.0006931
33,1474.46,0.05763,0.98417,1,0.03348,0.0006832,0.0006832,0.0006832
34,1517.33,0.06,0.97889,1,0.07806,0.0006733,0.0006733,0.0006733
35,1559.07,0.05397,0.98153,1,0.07548,0.0006634,0.0006634,0.0006634
36,1600.93,0.0592,0.98681,1,0.06446,0.0006535,0.0006535,0.0006535
37,1644.19,0.04199,0.97625,1,0.07341,0.0006436,0.0006436,0.0006436
38,1686.96,0.04388,0.98681,1,0.0479,0.0006337,0.0006337,0.0006337
39,1730.41,0.04166,0.98681,1,0.0568,0.0006238,0.0006238,0.0006238
40,1777.84,0.03864,0.99736,1,0.02246,0.0006139,0.0006139,0.0006139
41,1822.5,0.05636,0.98417,1,0.06693,0.000604,0.000604,0.000604
42,1867.79,0.0412,0.97889,1,0.06652,0.0005941,0.0005941,0.0005941
43,1911.35,0.0248,0.98681,1,0.08585,0.0005842,0.0005842,0.0005842
44,1955.1,0.03606,0.98681,1,0.0542,0.0005743,0.0005743,0.0005743
45,1998.79,0.02582,0.99736,1,0.00833,0.0005644,0.0005644,0.0005644
46,2041.3,0.03187,0.99736,1,0.00758,0.0005545,0.0005545,0.0005545
47,2084.47,0.0231,0.99208,1,0.01965,0.0005446,0.0005446,0.0005446
48,2137.72,0.02585,0.99472,1,0.01037,0.0005347,0.0005347,0.0005347
49,2207.47,0.05753,0.98945,1,0.05482,0.0005248,0.0005248,0.0005248
50,2340.06,0.08625,0.99736,1,0.00987,0.0005149,0.0005149,0.0005149
51,2386.92,0.05715,0.98945,1,0.04409,0.000505,0.000505,0.000505
52,2428.92,0.05004,0.98681,1,0.06747,0.0004951,0.0004951,0.0004951
53,2471.84,0.03419,0.98681,1,0.04885,0.0004852,0.0004852,0.0004852
54,2515.19,0.02049,0.98945,1,0.03258,0.0004753,0.0004753,0.0004753
55,2559.17,0.03398,0.98945,1,0.0304,0.0004654,0.0004654,0.0004654
56,2603.05,0.02784,0.97889,1,0.06622,0.0004555,0.0004555,0.0004555
57,2645.04,0.03325,0.98945,1,0.03824,0.0004456,0.0004456,0.0004456
58,2687.55,0.0299,0.98681,1,0.06116,0.0004357,0.0004357,0.0004357
59,2729.59,0.02555,0.98681,1,0.0638,0.0004258,0.0004258,0.0004258
60,2772.48,0.02266,0.98153,1,0.08093,0.0004159,0.0004159,0.0004159
