epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1001.19,0.91621,0.82605,1.42027,0.00107,0.0436,0.00056,0.00011,4.5934,18.1556,9.49264,0.00331126,0.00331126,0.0701987
2,1963.74,0.80208,0.59705,1.30978,0.61441,0.84956,0.66351,0.3637,1.20268,2.29495,1.80905,0.00651303,0.00651303,0.0400671
3,2887.52,0.7468,0.52965,1.26554,0.78296,0.82122,0.82424,0.52116,1.11736,1.62994,1.51827,0.0095828,0.0095828,0.00980355
4,3780.47,0.7264,0.51245,1.25252,0.93491,0.90811,0.96245,0.79596,0.62871,0.65359,1.04211,0.009406,0.009406,0.009406
5,4667.81,0.68284,0.47862,1.21789,0.94022,0.93895,0.97517,0.77263,0.82661,0.68522,1.31899,0.009208,0.009208,0.009208
6,5557.06,0.65939,0.45471,1.20736,0.98954,0.96232,0.99147,0.81073,0.75084,0.44595,1.16279,0.00901,0.00901,0.00901
7,6448.53,0.61869,0.4196,1.17342,0.97691,0.95422,0.98821,0.83285,0.71206,0.73902,1.03012,0.008812,0.008812,0.008812
8,7339.25,0.60194,0.40009,1.16224,0.9954,0.99346,0.99499,0.93321,0.40583,0.31308,0.78153,0.008614,0.008614,0.008614
9,8249.09,0.59369,0.39657,1.16098,0.94973,0.99637,0.97654,0.87854,0.34846,0.34173,0.65786,0.008416,0.008416,0.008416
10,9172.61,0.56985,0.38249,1.1479,0.99817,0.99782,0.99499,0.85495,0.6375,0.38134,0.88051,0.008218,0.008218,0.008218
11,10066.3,0.57564,0.37678,1.15355,0.9941,0.99564,0.99426,0.91406,0.39703,0.29485,0.61914,0.00802,0.00802,0.00802
12,10958.1,0.54241,0.3608,1.1285,0.97858,0.97892,0.99297,0.84991,0.5659,0.39072,0.87252,0.007822,0.007822,0.007822
13,11856.5,0.53044,0.35487,1.11846,0.99634,0.99015,0.99496,0.95971,0.31879,0.23232,0.63384,0.007624,0.007624,0.007624
14,12761.3,0.53152,0.35187,1.11816,0.99768,0.99855,0.99496,0.9024,0.42154,0.28678,0.64976,0.007426,0.007426,0.007426
15,13653.8,0.53826,0.35173,1.12166,0.99061,0.99708,0.99471,0.9099,0.45806,0.34426,0.74458,0.007228,0.007228,0.007228
16,14566.7,0.5152,0.34188,1.10923,0.99823,0.99855,0.995,0.87474,0.52779,0.33986,0.78871,0.00703,0.00703,0.00703
17,15480.9,0.50813,0.33288,1.1063,0.99977,0.99709,0.995,0.95676,0.32389,0.23088,0.65857,0.006832,0.006832,0.006832
18,16403.7,0.48957,0.32498,1.08874,0.99627,0.99927,0.995,0.9648,0.28861,0.23097,0.54952,0.006634,0.006634,0.006634
19,17312.4,0.49471,0.3268,1.0978,0.99819,0.99782,0.995,0.90929,0.44231,0.27617,0.72522,0.006436,0.006436,0.006436
20,18203.4,0.49365,0.32257,1.09705,0.99545,0.99128,0.99492,0.88701,0.50707,0.30496,0.75469,0.006238,0.006238,0.006238
21,19099.1,0.47969,0.31964,1.08855,0.99924,0.99855,0.995,0.97513,0.30913,0.19562,0.58786,0.00604,0.00604,0.00604
22,20010.3,0.48353,0.31721,1.08739,0.9971,0.99868,0.995,0.97869,0.24678,0.19209,0.47782,0.005842,0.005842,0.005842
23,20926.8,0.47036,0.31345,1.08075,0.99348,0.99637,0.99496,0.82686,0.70944,0.31749,0.95758,0.005644,0.005644,0.005644
24,21845.8,0.47628,0.30738,1.0848,0.99969,0.99855,0.995,0.95432,0.31892,0.22321,0.56381,0.005446,0.005446,0.005446
25,22765.5,0.45221,0.29947,1.06878,0.99564,0.99638,0.99499,0.97706,0.29272,0.22869,0.56231,0.005248,0.005248,0.005248
26,23684.6,0.44904,0.29419,1.07035,0.99993,1,0.995,0.90613,0.51928,0.23645,0.72859,0.00505,0.00505,0.00505
27,24603.6,0.45393,0.29482,1.07155,0.99853,0.99855,0.995,0.9811,0.24139,0.23217,0.49009,0.004852,0.004852,0.004852
28,25527.9,0.43947,0.28751,1.06752,0.98983,0.99049,0.99479,0.81322,0.77745,0.30906,1.0491,0.004654,0.004654,0.004654
29,26524.7,0.42929,0.28564,1.06022,0.99993,0.99927,0.995,0.98777,0.22473,0.20188,0.48216,0.004456,0.004456,0.004456
30,27469.9,0.42442,0.28162,1.057,0.99778,0.99564,0.995,0.95932,0.30382,0.2122,0.5427,0.004258,0.004258,0.004258
31,28383.3,0.42402,0.27894,1.05868,0.99986,0.99855,0.995,0.88941,0.47038,0.26104,0.65343,0.00406,0.00406,0.00406
32,29295.7,0.41254,0.27421,1.04805,0.99886,0.99927,0.995,0.97585,0.26822,0.2431,0.48153,0.003862,0.003862,0.003862
33,30206,0.40456,0.26848,1.04539,0.99778,0.99782,0.99499,0.94798,0.33245,0.21975,0.53409,0.003664,0.003664,0.003664
34,31116.6,0.40585,0.27241,1.04811,0.99951,0.99927,0.995,0.96135,0.29924,0.2035,0.50621,0.003466,0.003466,0.003466
35,32025.1,0.40011,0.26699,1.04465,0.99927,0.99759,0.995,0.95287,0.33877,0.19951,0.55033,0.003268,0.003268,0.003268
36,32936.3,0.39651,0.26244,1.04079,0.99855,0.9978,0.995,0.94201,0.34253,0.20506,0.51605,0.00307,0.00307,0.00307
37,33847.1,0.38219,0.25838,1.0419,0.99887,0.99709,0.995,0.95415,0.30251,0.17624,0.5178,0.002872,0.002872,0.002872
38,34766.9,0.37959,0.25449,1.03134,0.99994,1,0.995,0.92097,0.39855,0.19956,0.56473,0.002674,0.002674,0.002674
39,35678.6,0.3705,0.24803,1.0307,0.99994,1,0.995,0.95828,0.29932,0.17971,0.54938,0.002476,0.002476,0.002476
40,36597.2,0.3633,0.2454,1.02234,0.99933,1,0.995,0.98291,0.199,0.16423,0.41533,0.002278,0.002278,0.002278
41,37498.6,0.37041,0.22831,1.17448,0.99927,0.99983,0.995,0.99084,0.20495,0.17823,0.49436,0.00208,0.00208,0.00208
42,38400.6,0.34192,0.18062,1.1391,0.99983,1,0.995,0.99444,0.10851,0.12424,0.35071,0.001882,0.001882,0.001882
43,39318.4,0.32187,0.16864,1.12306,0.99911,1,0.995,0.99485,0.13042,0.13081,0.32826,0.001684,0.001684,0.001684
44,40233.3,0.31854,0.16292,1.12279,0.99482,1,0.99431,0.9939,0.08447,0.11327,0.29868,0.001486,0.001486,0.001486
45,41143.5,0.29924,0.1547,1.10354,0.99986,1,0.995,0.99447,0.0916,0.10483,0.28711,0.001288,0.001288,0.001288
46,42057.8,0.29349,0.14945,1.10118,0.99988,1,0.995,0.99451,0.08729,0.11665,0.27062,0.00109,0.00109,0.00109
47,42968.4,0.28464,0.14471,1.09563,0.99996,1,0.995,0.99475,0.08986,0.10982,0.26177,0.000892,0.000892,0.000892
48,43873.7,0.28493,0.14337,1.0982,0.99996,1,0.995,0.99491,0.08228,0.10527,0.23993,0.000694,0.000694,0.000694
49,44777,0.26575,0.1358,1.07289,0.99996,1,0.995,0.99482,0.07354,0.11037,0.23628,0.000496,0.000496,0.000496
50,45685.4,0.27141,0.13503,1.08378,0.99996,1,0.995,0.99493,0.08086,0.09542,0.2417,0.000298,0.000298,0.000298
