epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.806,0,0.19523,0,0,0,0,0,0,0,0,0.0700589,0.00332678,0.00332678
2,762.463,0,0,0,0,0,0,0,0,0,0,0.0397293,0.00633044,0.00633044
3,1122.26,0,0,0,0,0,0,0,0,0,0,0.00906959,0.0090041,0.0090041
4,1562.82,0,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
5,1931.73,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
6,2309.25,0,0,0,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
7,2684.29,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
8,3057.71,0,0,0,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
9,3425.86,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
10,3799.26,0,0,0,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
11,4182.68,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
12,4542.88,0,0,0,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
13,4909.19,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
14,5271.59,0,0,0,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
15,5633.68,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
16,6001.5,0,0,0,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
17,6367.36,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
18,6761.74,0,0,0,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
19,7161.13,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
20,7549.78,0,0,0,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
